title,field_policy_number,field_definition,langcode,field_topics,field_goals,field_objectives,field_short_name,body,field_bulleted_list,field_rural_development
Theme E - Stewardship Policy 1,1,"Update Lexington’s stone fence inventory, and pursue additional protections for this iconic and historic cultural asset.",en,"topic: Economic Development, Agriculture, Greenspace, Quality of Life",B3:D3:D4:E2,B3b:C1b:C1d:C2d:D3a:D3c:E2a:E2b,Stone Fence Inventory,"Stone fences are iconic to the historic and cultural landscape of Lexington’s rural heritage. They play a unique role in the region’s identity and contribute to the scenic views, rural corridors and rolling hills. Despite the role stone fences play in defining the sense of place within the Inner Bluegrass Region, they are in critical danger of being lost to development and neglect.

Stone fences are made of Kentucky Limestone collected from fields, streams, or quarries and demonstrate sustainable farming practices from the 1800s. The 1990 Stone Fences of Fayette County study estimated that 90% of the stone fences in the region are gone. The development of adjacent properties has been the primary reason for their demise since 1950.

The 1994 Stone Fence Ordinance protects those stone fences located in the public right-of-way from demolition. However, as the 2017 Rural Land Management Plan finds, “the fate of stone fences remains in peril.”

An inventory was conducted for the 1990 study, and found 247 stone fences with a total length of 38.7 miles. This was a 25% loss from the 49.6 miles identified in a 1967 study. The 1990 inventory was catalogued using a measuring wheel and plotting the stone fences on a 1981 Tree Stand Atlas map sheet.

The stone fence inventory should be updated to catalogue their condition and reflect their current status. Advancements in technology should be utilized to digitally map the stone fences through Geographic Information System (GIS). Other issues concerning stone fences identified by the 2017 Rural Land Management Plan should be considered when updating current policies and regulations protecting limestone fences.",Update the 1990 Stone Fence Inventory.,On
Theme E - Stewardship Policy 2,2,"Capitalize on the diverse economic development, housing, and tourism opportunities throughout the Bluegrass Region and engage in discussions to further connect regional economic hubs.",en,"topic: Housing, Transportation, Economic Development",C1:C2:D1:F3,C1a:C2d:D1c:F3a:F3b,Connect Regional Economic Hubs,"As Lexington’s economic and social capital grows, there will be impacts on surrounding counties and cities. The latent effects of these successes can change neighboring communities in a variety of ways, including their economies, housing stock, and industrial development. In an effort to produce a regional vision for the future which allows all communities to benefit, a policy of collaboration should be developed with Lexington’s neighboring cities. The initial step toward the development of a comprehensive regional planning initiative can be done by first connecting economic hubs or centers of economic activity, which are generally located in the downtowns of communities. 

Connecting economic hubs can be done on two separate levels: economically, through principles of business cooperation and coordination, and physically, through the establishment of transit that provides multimodal opportunities for citizens to move between communities (see Stewardship Policy #3). By linking Lexington with the nearby economic hubs or the downtowns of surrounding communities, the city will be able to better tie the economic interests of the Bluegrass Region and develop a collaborative planning process. Regional perspective has already been initiated within the tourist industry (see Stewardship Policy #4) and through Commerce Lexington’s regional marketing, but there is still room for improvement through additional promotion of other opportunities and industries

Through partnerships with organizations like the Bluegrass Area Development District and their Bluegrass Regional Planning Council, as well as direct collaboration with surrounding economic hubs like Nicholasville, Paris, Winchester, and Georgetown, Lexington can begin to develop lasting planning relationships that benefit the region. The development of an inter-city summit, focused on fostering dialogue between communities, can be the first step in such a relationship. The establishment of downtown collaboration between Lexington and surrounding communities can also lead to additional economic development, planning, and infrastructure cooperation in the future.

Furthermore, by connecting business opportunities, the Bluegrass Region can begin to increase levels of economic security through a diverse economic base, reducing instability caused during periods of downturn. While it is imperative to have a diversity of industries within Lexington, collaborating with surrounding communities can also entice diverse industries that link the communities and utilize the full advantages of the region. By nurturing regionally inclusive initiatives, Lexington and the surrounding communities can also seek to avoid population dislocation and dispersal out of the region through the provision of superior employment opportunities across all skill and education levels.",,Off
Theme E - Stewardship Policy 3,3,"Increase regional transportation cooperation and pursue multimodal transportation options, to facilitate inter-county connectivity.",en,"topic: Transportation, Economic Development, Health",B2:D1:F3,B2d:C1d:D1a:D1b:D1c:E1b:F3a:F3b,Facilitate Inter-county Connectivity,"A regional transportation network provides for the movement of goods and people though a multimodal system, which includes trains, trucks, buses, cars, bikes, and pedestrian options. As the regional transportation network grows, a viable system of accessible transportation alternatives should be implemented for residents and commuters alike. This includes complete streets that give consideration to bicycle and pedestrian traffic in addition to cars, trucks, buses, and ride sharing options while utilizing the latest innovative advancements in technology.

In order to facilitate and maintain an effective and comprehensive transportation system, cross-border actions should be encouraged and implemented through regional transportation planning. The economic success of Lexington and the region depends upon the accessibility and connectivity of the regional transportation network. The city’s transportation network penetrates urban and rural boundaries as well as political borders. Regional transportation planning through continuing, cooperative, and comprehensive planning with the surrounding counties should be pursued, as transportation links Lexington to the rest of the world politically, economically, and socially. Transportation transcends all levels of governmental units and is vital to economic growth.

As Lexington’s population and economic activity continue to increase, so too will the demand for the movement of goods and people. Approximately half of the city’s labor force commutes from outside of the county, a trend that is expected to continue as populations in Scott, Madison, and Jessamine Counties grow at rapid rates. This will result in more people and vehicles making daily commutes, on already well-traveled arterials and thoroughfares. In addition to more commuters, an increase in trucks and freight movement is also anticipated as online shopping continues to increase and home delivery becomes more readily available.

Currently, the Lexington Area Metropolitan Planning Organization (MPO) functions as the transportation planning unit for the city, while also serving as the regional organization that covers Jessamine County and a very small portion of Scott County. However, Lexington should look to foster increased regional transportation planning amongst all of its surrounding counties.",,On
Theme E - Stewardship Policy 4,4,Coordinate with surrounding counties to capitalize on the inherent tourism draws of the Bluegrass Region.,en,"topic: Economic Development, Agriculture, Greenspace",C1:D3:E2:F3,B2b:C1a:C1b:C1d:C2a:E2a:E2b:F3a:F3b,Coordinate Tourism of the Bluegrass Region,"Lexington is not alone in reaping the natural and historical benefits of the Bluegrass Region, as the surrounding counties all have similar assets, as well unique cultural and historic draws that make the region an attractive tourist destination. Some of the attractions cross county boundaries, such as the bluegrass landscape, horse farm tours, the Bourbon Trail, and the Brewgrass trail; while others are locally specific, such as Shaker Village in Mercer County or the Kentucky Castle in Woodford County. Together, they all create a regional experience that is unlike any other; in order for them to be most effective, they must be marketed together as such.

Visit Lex already incorporates regional showpieces into their marketing materials, including their pre-planned itineraries and “top 10 things to do” list. It could be mutually beneficial for all involved for Lexington to continue conversations with the goal of increasing tourist traffic for Fayette and outlying counties. Those counties would receive visitors who may be coming due to the larger draw of the urban amenities Lexington has to offer, and Lexington would likely benefit, as those who are traveling for attractions in outlying counties will probably stay and spend a good portion of their tourism money in the city. Additionally, the added visibility and attractiveness of the region creates enhanced livability and amenities for employers in all counties.

Land development, primarily in Lexington’s job-creating industries. Opportunities for industrial and professional office growth are present, and, as land constraints continue to tighten, the city should look creatively to these areas for employment solutions. These should be pursued, but with constant consideration given to the integrity of the rural service area.",,Off
Theme E - Stewardship Policy 5,5,"Fully realize the development potential within Lexington’s Rural Activity Centers while avoiding negative impacts to surrounding agriculture, Rural Settlements, and viewsheds.",en,"topic: Economic Development, Agriculture",B3:C1:C2:C3:D3:E2:E3,B2b:B3b:C1a:C1b:C2a:C2c:E1b:E2a:E2b,Rural Activity Centers,"The 2017 Rural Land Management Plan has a stated policy emphasis for the Rural Activity Centers (RACs) to “maximize their potential for jobs while maintaining their boundaries and minimizing impacts to the rural area.” The Rural Service Area (RSA) includes 1,562 acres dedicated to the four RACs: Blue Sky Industrial Park, Avon (Blue Grass Station), Spindletop Research Park, and the Blue Grass Airport.

Blue Sky is underutilized, with much of its area occupied by surface car lots; it can accommodate industrial uses, and is the only RAC not in public ownership. Its recommended uses are primarily for warehousing, light industrial, and interstate commercial development. There are significant opportunities to more fully realize the potential of this site, and a small area plan should be undertaken for more specific recommendations.
At 271 acres, Avon is under control of the Commonwealth of Kentucky, with the exception of 79 acres that are privately held. This RAC includes several tenants, such as Lockheed Martin, which contracts for the U.S. Department of Defense.

Spindletop’s Research Campus is an office park owned by the Commonwealth of Kentucky, which includes tenants such as the Council of State Governments and the Asphalt Institute. This Rural Activity Center is zoned for professional office uses. There are opportunities there for additional professional office developments which would be well suited for corporate headquarters, as the land is already zoned for professional office. Economic development opportunities should be pursued though amendments to the City’s agreement with the Commonwealth of Kentucky regarding sanitary sewer provision would be required.

The Blue Grass Airport is largest of the RACs, at 707 acres. This RAC includes warehousing and office uses to support the airport facilities, as well as a shooting range for Lexington Police. The Airport Board also acquired another 314 acres and constructed an additional runway outside the RAC; however, the boundary was not expanded, in order to avoid complications that could arise through future property sales.

While the RACs make up a relatively small percentage of the RSA, they still provide for growth and development, primarily in Lexington’s job-creating industries. Opportunities for industrial and professional office growth are present, and, as land constraints continue to tighten, the city should look creatively to these areas for employment solutions. These should be pursued, but with constant consideration given to the integrity of the rural service area.",Conduct a Blue Sky Small Area Plan.,On
Theme E - Stewardship Policy 6,6,Identify new compatible agritourism and ecotourism land uses that would enhance Lexington’s economy and provide additional income-generating possibilities for local farmers.,en,"topic: Economic Development, Agriculture",B3:C1:D3:E2,B2b:B3b:C1a:C1b:C1d:C2a:C2d:E1b:E2a,Agritourism & Ecotourism,"The Agritourism Zoning Ordinance Text Amendment was important in further establishing protections for the horse industry, as well as other agriculture industries. The impact of that text amendment should be monitored to identify opportunities to add further complementary uses that expand tourism options without negatively affecting existing industries. There remains considerable rural land that is geographically and topographically unsuitable for standard agricultural uses that should be considered for additional agritourism uses.  While the community was not prepared during the last text amendment to make those changes, Imagine Lexington envisions a future where those opportunities will become more acceptable, when coupled with sufficient protections to the rest of the agricultural area.",Update the Zoning Ordinance provisions for Agritourism.,Off
Theme E - Stewardship Policy 7,7,"Consult with planning departments of adjacent counties to find common Comprehensive Plan goals, objectives and implementation items where shared benefits could be gained by working together.",en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life, Community Facilities",F3,A2d:B3d:F3a:F3b,Consult with Adjacent Counties,"Regional planning efforts in the past have been difficult endeavors for many reasons; however, there is a shared goal among staff from all of Lexington’s regional neighbors to advance the basic principles of urban planning. While there are significant differences in the underlying ordinances that control zoning from county to county, all of the neighboring counties have adopted comprehensive plans, which share many goals and objectives.

Developing a rapport with the planning staff from these neighboring planning departments and identifying common goals and objectives would allow for shared efforts in implementing policies. This would foster a commonality that highlights similarities, rather than focusing on differences.",,Off
Theme E - Stewardship Policy 8,8,"Address economic, environmental, and social sustainability of new development to thoughtfully utilize Lexington’s resources for present needs while considering those of future generations.",en,"topic: Housing, Transportation, Economic Development, Agriculture, Greenspace, Health, Quality of Life",A3:B1:B2:B3:C1:C2:C3:D2:E1:E2:E3:F2,A1a:A2d:A3b:A3c:A3d:A4b:B2b:B2c:B2d:B3b:B3c:C1b:C1d:C1e:D1a:D1b:D1c:D2a:D2b:D2c:E1b:E1c:E1d:E1e:E2a:E2b:F2c,Sustainability for Present & Future,"The focus of sustainable development is to raise the standard of living for current residents without precluding the same opportunity to future generations. There are three facets to sustainability through which all proposed development should be reviewed: Economic, Social, and Environmental. It is indeed possible to promote growth in a sustainable way by ensuring that goods and services can be easily distributed and that there are sufficient jobs to support the provision of government services. At the same time, reducing the fiscal impact of growth must be considered as well. Imagine Lexington is committed to promoting and implementing policies and regulations that will yield development patterns that save taxpayer dollars.
From an environmental perspective, land uses and new development should support their surrounding ecosystems. Improving upon Lexington’s commitment to sustainable growth will require implementing guidelines for measuring the impact of new development. Lexington should be a city that encourages growth that is durable, healthy and energy efficient. Lexington should be a leader in green building construction practices.

Social Sustainability emphasizes the creation of equitable land use policies that promote access to social and economic resources. Imagine Lexington aims to address public transportation, the needs of the homeless population, healthcare and mental wellness programs, and policies for inclusivity, as well as community engagement through additional zone change criteria. A commitment to sustainability involves the private sector rethinking how it develops, as well as how government approaches community issues, realizing that the interrelationship between policies and actions often affect much more than just their intended focus.",,Off
Theme E - Stewardship Policy 9,9,Follow and implement the recommendations of the 2007 Study of Fayette County’s Small Rural Communities and the 2017 Rural Land Management Plan to protect and preserve Lexington’s rural settlements.,en,"topic: Economic Development, Agriculture",B3:D3:E1:E2:E3,B3b:C1b:D3a:D3b:D3c:E1b:E2a:E2b,Protect & Preserve Rural Settlements,"Lexington has 19 rural settlements that are essential to the history and fabric of the rural landscape. Three of the historic settlements, Bracktown, Cadentown, and Jonestown, have been absorbed into the Urban Service Area, while 16 reside in the Rural Service Area, totaling 505 acres.

The majority of the rural settlements were settled by free African-Americans after the Civil War. Many descendants of those who first settled these communities still remain on the same land today and operate small farms and businesses. The rural settlements also comprise a significant portion of the African-American homeownership in Fayette County.

A three-year study of Fayette County’s rural settlements, begun in 2002, documented their character and history and gave policy recommendations to protect each of their unique identities, all of which were included in the 2007 Comprehensive Plan. While some actions have been taken as a result of these policy recommendations, many of these small rural settlements remain threatened. Threats include potential urban expansion, population decline, possible gentrification if redeveloped, and loss of unique identity.

To protect and preserve Lexington’s rural settlements:

• The current lotting patterns should be maintained, unless the action taken would restore the parcel’s historic condition;
• New housing opportunities on vacant lots should be promoted to ensure the longevity of the rural settlements;
• An ND-1 or H-1 overlay, tailored to the needs of these individual communities, should be considered;
• Infrastructure measures that both improve the quality of life for residents of the rural settlements and are compatible with the Rural Service Area should be explored, including transportation and public transit, tourism, and internet/Wi-Fi connection;
• Consider adjusting the PDR program’s evaluative point system so applications which include farmland adjacent to rural settlements are awarded additional points;
• Identify local land use advocacy groups to partner as stakeholders in the development of policy and education/outreach efforts within rural settlements;
• The policy recommendations for rural settlements from the 2007 Study of Fayette County’s Small Rural Communities and the 2017 Rural Land Management Plan should be implemented.
",,On
Theme E - Growth Policy 1,1,Revisit Infill and Redevelopment Area regulations to ensure they are compatible with Imagine Lexington and are encouraging desired development.,en,"topic: Housing, Transportation, Economic Development, Greenspace, Health, Quality of Life",A1:A2:A3:E1,A1a:A1b:A1c:A1d:A2a:A2b:A2c:A2d:A3a:A3b:C2a:E1a:E1b:E1c:E1d,Infill & Redevelopment Area Regulations,"The first Infill & Redevelopment Committee was created in 1996, which led to the 2001 Residential I/R Study, official adoption of the defined Infill & Redevelopment Area in the 2001 Comprehensive Plan, and subsequent regulatory changes to implement the Plan. The I/R Area boundary is based on the 1934 urbanized area of Lexington and its surroundings, which was primarily developed in traditional patterns prior to the adoption of the Zoning Ordinance. The special provisions in the Zoning Ordinance for this defined area are designed to complement those historical patterns, by allowing and promoting opportunities for compatible growth in older neighborhoods.


Prior to the I/R changes, there were many concerns about inappropriate infill in some areas of town, and lack of infill opportunities in others. The changes were intended to promote development that enhances the livability of the neighborhood, add appropriate density, and promote affordable housing, all while adding value to areas of town that were previously overlooked because the primarily suburban Zoning Ordinance provisions were out of place in these neighborhoods.

Throughout the years, the provisions of the Zoning Ordinance related to infill and redevelopment have been modified to ensure they were accomplishing these goals. It is time to revisit these regulations with a context-sensitive approach to assess whether they are in line with the stated Goals and Objectives, or if they are producing undesirable development within the I/R Area.",Update the Zoning Ordinance to reflect the Imagine Lexington’s infill policies.,Off
Theme E - Growth Policy 2,2,Capitalize on the current momentum of downtown development and improvements by working to identify and enhance opportunities for redevelopment.,en,"topic: Economic Development, Quality of Life",A1:A2:A3:B2:C1:E1,A1a:A1b:A1d:A2a:A2b:A3a:A3b:B2c:C1d:C1e:C2a:C2d:E1b:E1d,Downtown Development & Improvements,"The implementation of the infill and redevelopment boundary and its corresponding special zoning provisions was a boon to downtown growth, coming at a time when citizens began to take interest, once again, in living in a more urban setting. Demographically, Baby Boomers were looking to downsize, along with new young professionals beginning to demand smaller housing types located closer to amenities. Recent developments near downtown do not indicate any anticipated shift in these preferences. Current and proposed projects like Town Branch Commons, the Krikorian entertainment complex, and the Lexington Convention Center will be catalytic in spurring additional smaller developments downtown, and Imagine Lexington should anticipate ways to encourage those projects.

A new Downtown Master Plan that specifically focuses on identifying opportunities for redevelopment along with supported strategies is needed to continue revitalizing the urban core. This should be led by the Downtown Lexington Partnership, with strong collaboration with Planning, additional governmental and quasi-governmental agencies, and other critical stakeholders like downtown neighborhoods and businesses.  A revised plan will hopefully be a catalyst for attracting new development, while also meeting the needs of existing downtown interests.

Downtown residents have repeatedly expressed a desire for more neighborhood-serving commercial development. Turning those wishes into reality requires working with Lexington’s urban neighborhoods to address the provision of additional housing to support further commercial opportunities. With the substantial private investment in student housing in the near-campus areas, Lexington has seen commensurate development of new commercial options intended to serve residents. The redevelopment of the Euclid Kroger and the planned construction of the five/six story mixed-use Hub developments on Pine Street/Upper Street (shown below) and Virginia Avenue/South Limestone Street indicate that providing substantial housing opportunities does attract further economic development.
The growth in the university population, in this case, is having a positive impact in attracting businesses that students and neighborhood residents need, and that increase their quality of life. Acknowledging the need to provide additional future student housing in the near-campus area is critically important, in that it serves to relieve housing pressures from adjacent neighborhoods. However, part of the process of identifying new opportunities will be analyzing existing areas that have already seen substantial irreversible change and may be in need of full redevelopment.",,Off
Theme E - Growth Policy 3,3,"Provide varied, abundant, and connected greenspaces throughout Lexington’s urban and rural areas.",en,"topic: Agriculture, Greenspace, Health, Community Facilities",A3:B2:B3:D2:D3:E2,A2c:A3b:A3c:A3d:B2b:B3a:B3b:B3c:C1d:C2d:D1b:E1b:E2a:E2b,"Varied, Abundant, & Connected Greenspaces","The Bluegrass identity sets Lexington apart from the rest of the world. It is vital that this identity be preserved and maintained through the designation and preservation of greenspace; growth should strike a harmonious balance between development and preservation. Lexington has and should continue to provide abundant new greenspace and greenways, while preserving existing natural areas that continue to foster and promote growth.

Greenspace and greenways are essential to the quality of life expected by Lexington’s citizens and are imperative to attracting new businesses and skilled workers. Greenspace should not be subjugated to the rural service area; rather, greenspace and greenways should play a prominent role in how the urban service area is developed. As the community continues to grow, more projects such as the Legacy and Town Branch Trails should be considered and implemented, and more neighborhood parks should be created.

Greenspace is more than horse farms, parks, and forests; it also includes streams, sinkholes, the Kentucky River, and the prime soils provided by Lexington’s karst topography. Greenways are linear corridors, not unlike roads and trails, which can provide critical linkage and protection of natural and cultural resources. Both new and existing corridors should be made complete with green infrastructure.

The natural topography of the Bluegrass offers abundant opportunities within the urban service area for greenspace. Greenspaces provide for recreational tourism, healthier living habits, and socially equitable open spaces. The scenic, environmental, and cultural impact of allocating greenspace and greenways is vital to a healthy and thriving urban environment.

The issues, concerns, and policy recommendations of both the 1994 Greenspace Plan and the 2002 Greenway Master Plan should continue to be considered and implemented. Both plans should be updated, taking into account new advancements in technology, growth, and development.",,On
Theme E - Growth Policy 4,4,Promote the adaptive reuse of existing structures.,en,"topic: Housing, Economic Development",A1:A2:A3:B2:C1:E1,A1a:A1b:A1d:A2a:A2d:A3a:A3c:B2c:C1e:C2a:D3b:D3c:E1a:E1b:E1c:E1d,Adaptive Reuse,"Structures often outlive the function that they were built to serve, and there is nothing new about stabilizing and rehabbing an old structure; however, under modern Zoning Ordinance provisions, refitting an old building for a new use is often problematic, particularly given the existing suburban parking requirements. The most drastic examples of this in Lexington were in the older industrial areas located within the defined Infill & Redevelopment Area.

Historically, major employers wanted to be near railroad access and housing that would allow their employees to walk to work, which is in contrast to more recent suburban-style priorities of having easy highway access and separation from residential properties. Many older industrial buildings nationally have become highly underutilized, due to the need for most new industrial uses to locate in large buildings that are more cost-effective when built new, with better access to transportation corridors. Several small users could utilize the abundant vacant square footage, but a common problem was that the combined parking requirements of several small users could rarely be met onsite, or even in the general vicinity, without major demolition to provide new surface parking lots.

In 2012, the city partnered with the developers of the Distillery District and National Avenue to pass a first-of-its-kind Zoning Ordinance provision that would allow flexible uses and lower parking standards, providing a type of redevelopment flexibility second only to the core downtown zones. From inception, the adaptive reuse provisions of the Zoning Ordinance were designed to further the Goals and Objectives of the Comprehensive Plan, promoting the sustainable practice of reusing existing buildings, minimizing the need, in some cases, for new construction. The provisions were written with large-scale corridor redevelopment in mind, allowing phasing of the development to occur, recognizing that large-scale redevelopment projects rarely happen overnight. Since the adoption of the new regulations, these Adaptive Reuse Projects have generally been successful for large-scale redevelopment - with some unintended negative consequences, such as the lack of options for multimodal access, resulting in overcrowded parking.

It is time to revisit this ordinance and strengthen it to achieve the current Goals and Objectives of the Comprehensive Plan, ensuring that adaptive reuse projects enhance their surrounding neighborhoods, provide more opportunities and options for a livable and walkable environment, and become anchors for re-investment in existing neighborhoods. A possible approach to strengthen the adaptive reuse provisions is to create a context- sensitive design methodology, with differing guidelines for large corridors and individual projects; and, perhaps, the ability to apply the adaptive reuse principles to properties other than industrially-zoned areas.",Update the Adaptive Reuse provisions in the Zoning Ordinance.,Off
Theme E - Growth Policy 5,5,"Utilize critical evaluation to identify and preserve Lexington’s historic assets, while minimizing unsubstantiated calls for preservation that can hinder the city’s future growth.",en,"topic: Economic Development, Quality of Life",A2:A3:C1,A2a:A2b:A3a:D3a:D3b:D3c:E1b:E1d:E2a:E2b,Historic Assets & Future Growth,"With any future development of Lexington, reverence and critical review of the city’s history is imperative. Through the utilization of existing preservation policies, specifically through the Division of Historic Preservation, and through partnership with organizations like the Blue Grass 
Trust for Historic Preservation and the National Register of Historic Places, Lexington can protect, preserve, and enhance its stock of historic properties, which act as a bridge between present day and Lexington’s 243-year history.

While the preservation of Lexington’s historic properties is important, it is equally critical to distinguish between properties that contribute to the historical record, and those that are less significant historically. During the development process, the age of properties is frequently utilized as a guideline for preservation in opposition to new construction. However, the 50-year test, which is often referred to as the test of longevity, must be corroborated with levels of historic significance. Historical significance of a site considers the impact on or importance to American history, architecture, archeology, engineering, and/or culture, and can be attributed to districts, sites, buildings, structures, and/or objects (National Register Criteria for Evaluation).

The significance of the property can generally be broken down into four primary criteria of influence: an area of important events, association with significant persons, a unique or distinctive type, or the potential to yield important information. Furthermore, the property must possess high levels of integrity regarding location, design, setting, materials, workmanship, feeling, and association. These criteria for preservation and/or enhancement of a structure should be employed to analyze the importance to the history and character of Lexington.
Through this crucial evaluation process, properties and districts that contribute to the historical record, as well as representative samples of architectural stylings, will be preserved for future generations to experience. However, without a critical review of a property’s contribution, Lexington will see a proliferation of unsubstantiated calls for preservation that can hinder the growth and densification within the urban service boundary.

Additionally, a proactive and comprehensive inventory of historic assets should be undertaken by the Department of Planning, Preservation, and Development to identify architecturally and historically significant properties.  This should result in the initiation of additional H-1 Districts, as appropriate, to supplement the 15 existing districts that fundamentally contribute to Lexington’s urban fabric.  Ideally, this assessment should be completed prior to development proposals to eliminate confusion as potential developments are evaluated.",,Off
Theme E - Growth Policy 6,6,Address new development context along the boundaries of existing Historic Districts to enhance historic areas while encouraging infill and redevelopment.,en,"topic: Housing, Economic Development, Quality of Life",A2:A3:B3:C1:D3,A1b:A2a:A2b:A2d:A3a:B3b:D3a:D3b:D3c:E1b:E1c:E1d,New Development & Historic Districts,"Traditionally, the application of zoning has been almost universally about softening the edges of varying land uses against each other. American economic shifts have resulted in less need for stepdown zoning, as today planners are less likely to need to address mitigating the impacts of manufacturing and industrial uses on less intense areas directly adjacent. On the other hand, preservation efforts of the last few decades have increased the desire to mitigate issues of context between old and new. Lexington’s local economy has undergone a similar transformation over the last few decades. While the tobacco industry has waned, the city’s service and healthcare industries have grown significantly. The more urban land uses of the new economy are increasingly complementary to existing residential land use patterns. Greater consideration to site design can make those transitions even more complementary and of greater benefit to neighborhoods.

Redevelopment of older industrial sites near historic areas creates an opportunity to enhance those spaces. Historic preservation efforts have succeeded in making some areas attractive for new growth around them, a testament to their success. However, creating a market for new projects is not without its own issues to monitor. Imagine Lexington absolutely supports preservation of existing historic districts, while encouraging new infill and redevelopment projects in areas around them.
Development criteria within Imagine Lexington will seek to address some of these contextual issues in order to better provide guidance to historic property owners and developers about what to expect along the boundaries of historic zones. The primary goal will be to enhance the historic areas by creating new dynamic places where people will want to live, work and visit, while not attempting to mimic or recreate the past. In the urban core, increases in land use intensity are to be expected, while still enhancing the aesthetic of directly adjacent historic areas.",,Off
Theme E - Growth Policy 7,7,"Lexington should be proactive, highly agile, and adaptable in pursuing changes to transportation and land use policy that harness the benefits of autonomous vehicles (AV) and limit the potential detriments.",en,topic: Transportation,B2:D1,A2d:A3b:B2d:C2d:D1a:D1b:D1d:E1b,Autonomous Vehicles,"While computer technology has improved rapidly and dramatically over the last 20 years, conversely, automobiles have traditionally followed a much more deliberately slow-paced and methodical development process, primarily to ensure that safety is enhanced with every iteration of advancement. But as cars have become more like computers, there has been a shift in the design process, from designing a car that can withstand a crash to designing a car that avoids the crash in the first place. With prices dropping and the availability of driver-assistance technology increasing, it is evident that the future of transportation will be tied to a smart connected city infrastructure, known in the industry as Intelligent Transportation Systems (ITS). This, in turn, will allow future innovations that will create more travel options.
Just as computer technology, the internet, and smart phones have transformed almost every aspect of daily lives, connected and automated vehicles will change the way citizens navigate and pay for travel. There are many experts that have envisioned a utopian future of low cost electric vehicles transporting people from door to door, while others see a dystopia of clogged streets and negative impacts on health, as fewer choose to walk. The truth is likely to be found somewhere in between these two visions, with both new benefits and unforeseen consequences. What is clear is that change is coming, and it is coming faster than ever expected. Automated and connected vehicles will affect the economy, land use decisions, data sharing, pricing, safety, available travel options, congestion, customer service, retail establishments, employment, and many other aspects of daily lives. Irrespective of the projections about how fast the full adoption of these services will be at full market saturation, the time to plan for them is now.

It is important to remember, first, that people make places and places make people. Whatever the mobility options, Lexington should adopt a “people first” attitude when preparing for a shift in land use patterns, and ensure that the thrill of a new technology enables a better future, rather than having it dictate behaviors. Lessons should be learned from society’s last major transportation shift, where single-occupancy vehicles dictated the landscape with very little regard to the unintended consequences.

In order to prepare for the future of autonomous vehicles, Lexington should be increasingly flexible in parking requirements, favoring those high-intensity uses that are well-suited as mobility hubs to aggregate and provide seamless transfers between a growing number of mobility options and ownership models. It will also be important to consider designated curbside or private drop-off and pickup areas in lieu of traditional surface parking spaces, as parking in close proximity to destinations will be less crucial. Additionally, Lexington must prepare for AV technologies to change the needs of private industries, particularly freight and retail, with less space dedicated to showrooms and increased demand for warehouses and logistical square footage.
There are a great many unknowns when it comes to the full spectrum of impacts autonomous vehicles will have on transportation, land use, and society as a whole. What is clear is that Lexington needs to strive to be proactive in anticipating these changes, leveraging them for their positive attributes while minimizing the negative. This new technology should be not be feared but embraced, and Lexington should look to be a leader in the state, region, and nation in this regard.",Update the Zoning Ordinance to accommodate and anticipate autonomous vehicles.,Off
Theme E - Growth Policy 8,8,"Identify catalytic redevelopment opportunities to proactively rezone properties, clear regulatory hurdles, and expedite redevelopment in key areas that will ignite further economic growth.",en,"topic: Housing, Transportation, Economic Development",A1:A2:A3:C1:C3:D1,A1a:A1b:A1c:A1d:A2a:A2d:A3a:C1a:C1b:C2a:C2c:D1a:D1b:D1c:E1b:E1c:E1d,Proactively Rezone Properties,"Previous small area plans, which contained future land use recommendations, have been critical to facilitating future development in those locations. Recommendations in the South Nicholasville Road Small Area Plan led the way for The Summit at Fritz Farm, an area that had been the subject of numerous failed zone change attempts in the past. While in the Winburn- Russell Cave Small Area Plan, specific recommendations for public improvements were immediately implemented through Urban County Council action, approving funds for constructing the completion of Winburn Drive to Citation Boulevard.

Looking forward, as the planned corridor studies that are a major component of Imagine Lexington are completed, property owners interested in implementing the recommendations should be afforded an opportunity to take part in a Planning Commission initiated Zone Map Amendment. Leveraging the partnerships forged during the study period, a government sponsored zone change that reflects the recommendations would expedite the land use changes needed along the respective corridors. If the City has a desired outcome in these areas, proactive measures should be taken to lay the groundwork for their implementation.

Taking steps to clear the path for future development can signal to the development community that there is substantial buy-in on the planned path forward, minimizing both the risk and cost associated with redevelopment projects. Part of the corridor study process would include engagement with the associated Urban County Councilmembers to ensure a broad overall desire to implement the plans.",Work with the Planning Commission and Council to proactively pursue government-initiated zone changes recommended by corridor studies.,Off
